"filename", "language", "JSON", "JavaScript", "Dotenv", "XML", "HTML", "Python", "JavaScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\USER\Desktop\AgriNexus\client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 8, 17
"c:\Users\USER\Desktop\AgriNexus\client\eslint.config.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\USER\Desktop\AgriNexus\client\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\USER\Desktop\AgriNexus\client\package-lock.json", "JSON", 3445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3446
"c:\Users\USER\Desktop\AgriNexus\client\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\USER\Desktop\AgriNexus\client\public\favicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USER\Desktop\AgriNexus\client\public\icons.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\USER\Desktop\AgriNexus\client\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 275, 0, 20, 56, 351
"c:\Users\USER\Desktop\AgriNexus\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 0, 36, 28, 171
"c:\Users\USER\Desktop\AgriNexus\client\src\ErrorBoundary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\USER\Desktop\AgriNexus\client\src\api\adminService.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\USER\Desktop\AgriNexus\client\src\api\authApi.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\USER\Desktop\AgriNexus\client\src\api\axios.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\USER\Desktop\AgriNexus\client\src\api\buyerService.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\USER\Desktop\AgriNexus\client\src\api\deliveryService.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\USER\Desktop\AgriNexus\client\src\api\farmerService.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 16, 15, 82
"c:\Users\USER\Desktop\AgriNexus\client\src\components\buyer\BuyerNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 12, 122
"c:\Users\USER\Desktop\AgriNexus\client\src\components\buyer\BuyerSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 11, 69
"c:\Users\USER\Desktop\AgriNexus\client\src\components\buyer\css\BuyerNavbar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 160, 0, 3, 25, 188
"c:\Users\USER\Desktop\AgriNexus\client\src\components\buyer\css\BuyerSidebar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 9, 79
"c:\Users\USER\Desktop\AgriNexus\client\src\components\common\ErrorBoundary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\USER\Desktop\AgriNexus\client\src\components\common\FieldSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 10, 8, 62
"c:\Users\USER\Desktop\AgriNexus\client\src\components\common\SensorGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 12, 3, 98
"c:\Users\USER\Desktop\AgriNexus\client\src\components\common\css\FieldSelector.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"c:\Users\USER\Desktop\AgriNexus\client\src\components\common\css\SensorGrid.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"c:\Users\USER\Desktop\AgriNexus\client\src\components\farmer\FarmerNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\USER\Desktop\AgriNexus\client\src\components\farmer\FarmerSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 24, 98
"c:\Users\USER\Desktop\AgriNexus\client\src\components\farmer\css\FarmerNavbar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 8, 54
"c:\Users\USER\Desktop\AgriNexus\client\src\components\farmer\css\FarmerSidebar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 11, 82
